City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,San Patricio,US,28.017,-97.5169,62.55,62,1,5.23,clear sky
215,Oksfjord,NO,70.2396,22.3479,27.52,86,27,13.15,scattered clouds
216,Longyearbyen,SJ,78.2186,15.6401,19.24,63,40,19.57,scattered clouds
217,Qasigiannguit,GL,68.8193,-51.1922,1.65,99,100,5.3,light snow
218,Nianzishan,CN,47.5167,122.8833,4.51,72,32,5.28,scattered clouds
219,Skoghall,SE,59.3232,13.4655,32.56,86,60,5.75,broken clouds
220,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,100,18.41,light snow
221,Morondava,MG,-20.2833,44.2833,80.83,82,100,17.81,moderate rain
222,Mabaruma,GY,8.2,-59.7833,77.38,94,66,4.56,broken clouds
223,Hualmay,PE,-11.0964,-77.6139,74.79,68,91,10.04,overcast clouds
224,Stolin,BY,51.8912,26.846,33.4,95,100,13.87,overcast clouds
225,Minas De Barroteran,MX,27.6333,-101.2833,51.66,29,2,3.4,clear sky
226,Lishui,CN,28.4604,119.9103,41.36,95,100,3.04,light rain
227,Leningradskiy,RU,69.3833,178.4167,-22.81,98,33,6.08,scattered clouds
228,Navahrudak,BY,53.6,25.8333,31.87,98,100,16.49,light snow
229,Husavik,IS,66.0449,-17.3389,24.71,78,100,9.93,light snow
230,Sur,OM,22.5667,59.5289,71.49,72,1,8.32,clear sky
231,Shestakovo,RU,56.4915,103.96,7.3,99,100,3.11,overcast clouds
232,Cherskiy,RU,68.75,161.3,-30.93,100,47,1.45,scattered clouds
233,Saint-Joseph,RE,-21.3667,55.6167,77.38,77,95,10.96,overcast clouds
234,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,14.97,broken clouds
235,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,20.71,scattered clouds
236,Bambanglipuro,ID,-7.95,110.2833,75.99,89,100,4.12,overcast clouds
237,Zhigansk,RU,66.7697,123.3711,-24.83,98,99,6.89,overcast clouds
238,Caravelas,BR,-17.7125,-39.2481,84.85,60,4,10.6,clear sky
239,Zavyalovo,RU,54.5053,82.4484,-2.2,88,64,1.19,broken clouds
240,Metsavan,AM,41.2016,44.2288,13.44,59,59,6.08,broken clouds
241,Uvira,CD,-3.4067,29.1458,74.73,82,70,2.37,light rain
242,Vardo,NO,70.3705,31.1107,26.58,74,75,23.02,broken clouds
243,Pauini,BR,-7.7136,-66.9764,83.07,69,98,0.78,overcast clouds
244,Awbari,LY,26.5921,12.7805,61.14,18,25,9.24,scattered clouds
245,Oistins,BB,13.0667,-59.5333,84.29,61,40,20.71,scattered clouds
246,Marawi,PH,7.9986,124.2928,65.64,90,54,1.72,broken clouds
247,Ovsyanka,RU,55.9575,92.5519,22.17,92,100,4.56,overcast clouds
248,Tiksi,RU,71.6872,128.8694,-15.12,98,100,2.91,overcast clouds
249,Fort Nelson,CA,58.8053,-122.7002,11.79,92,40,8.05,scattered clouds
250,Udayagiri,IN,20.1333,84.3833,55.42,46,32,2.21,scattered clouds
251,Fairfield,US,41.2668,-73.3162,29.62,59,0,1.01,clear sky
252,Wagar,SD,16.1525,36.2032,73.4,33,0,11.3,clear sky
253,Peremyshlyany,UA,49.6652,24.5585,37.72,75,100,17.16,overcast clouds
254,Goderich,CA,43.7501,-81.7165,28.9,74,99,17.27,overcast clouds
255,Farmington,US,36.7281,-108.2187,40.86,46,0,0.0,clear sky
256,Alice,US,27.7523,-98.0697,63.97,50,0,8.05,clear sky
257,Kupang,ID,-10.1667,123.5833,79.07,85,41,7.18,scattered clouds
258,Chapais,CA,49.7834,-74.8492,6.58,92,100,11.07,light snow
259,Lebu,CL,-37.6167,-73.65,66.9,62,0,13.85,clear sky
260,Tomatlan,MX,19.9333,-105.25,88.68,29,7,4.81,clear sky
261,Doha,QA,25.2867,51.5333,62.58,59,0,12.66,clear sky
262,Arzgir,RU,45.3728,44.2206,34.97,72,98,19.98,snow
263,Hami,CN,42.8,93.45,27.16,29,47,15.7,scattered clouds
264,Brae,GB,60.3964,-1.353,39.11,59,98,30.53,overcast clouds
265,Ekpoma,NG,6.7421,6.139,82.24,16,7,2.35,clear sky
266,Pontes E Lacerda,BR,-15.2261,-59.3353,78.62,87,99,7.83,overcast clouds
267,Mount Isa,AU,-20.7333,139.5,74.97,73,100,6.91,overcast clouds
268,Ushtobe,KZ,45.2514,77.9838,20.25,89,55,4.03,broken clouds
269,Terrace Bay,CA,48.7834,-87.1,20.82,90,100,13.91,light snow
270,Winnemucca,US,40.973,-117.7357,42.12,48,0,0.0,clear sky
271,Coquimbo,CL,-29.9533,-71.3436,69.51,68,29,6.89,scattered clouds
272,Marzuq,YE,14.4,46.4667,66.51,31,40,3.49,scattered clouds
273,Gostyn,PL,51.8825,17.0123,43.05,88,100,23.09,light rain
274,Faya,SA,18.3851,42.4509,53.71,76,3,3.94,clear sky
275,Port Blair,IN,11.6667,92.75,78.82,80,13,10.16,few clouds
276,Kahului,US,20.8947,-156.47,75.85,78,20,12.66,few clouds
277,Otane,NZ,-39.8833,176.6333,57.38,97,100,6.64,overcast clouds
278,Cidreira,BR,-30.1811,-50.2056,81.59,50,24,13.31,few clouds
279,Dubrovnik,HR,42.6481,18.0922,49.64,87,0,4.61,clear sky
280,Kaitangata,NZ,-46.2817,169.8464,41.2,94,6,1.83,clear sky
281,Te Anau,NZ,-45.4167,167.7167,39.02,94,5,1.34,clear sky
282,Holme,DK,56.1138,10.1725,35.17,91,92,10.0,overcast clouds
283,Poum,NC,-20.2333,164.0167,79.99,84,100,9.64,overcast clouds
284,Sitka,US,57.0531,-135.33,44.49,81,100,14.97,light rain
285,San Luis,AR,-33.295,-66.3356,77.59,15,0,5.75,clear sky
286,Pimenta Bueno,BR,-11.6725,-61.1936,85.62,71,84,2.77,broken clouds
287,Kattivakkam,IN,13.2167,80.3167,81.07,75,91,9.86,overcast clouds
288,Eucaliptus,BO,-17.5833,-67.5167,62.29,52,99,17.54,overcast clouds
289,Carpinteria,US,34.3989,-119.5185,77.38,31,0,3.2,clear sky
290,Isangel,VU,-19.55,169.2667,79.52,90,100,14.14,moderate rain
291,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,12.66,broken clouds
292,Saint-Francois,FR,46.4154,3.9054,47.64,71,100,16.11,overcast clouds
293,San Ramon,US,37.7799,-121.978,59.41,63,0,1.01,clear sky
294,Floriano,BR,-6.7669,-43.0225,88.61,56,79,1.74,broken clouds
295,Hatillo,PR,18.4863,-66.8254,82.99,84,64,3.0,broken clouds
296,North Branch,US,45.5113,-92.9802,22.98,74,100,12.66,overcast clouds
297,Sambava,MG,-14.2667,50.1667,75.99,89,48,8.55,light rain
298,Fortuna,US,40.5982,-124.1573,55.74,79,0,6.91,clear sky
299,Petatlan,MX,17.5167,-101.2667,85.8,37,4,6.53,clear sky
300,Sayyan,YE,15.1718,44.3244,55.31,45,39,5.08,scattered clouds
301,Carballo,ES,43.213,-8.691,55.58,92,52,1.68,broken clouds
302,Miri,MY,4.4148,114.0089,75.34,100,40,0.0,scattered clouds
303,Nara,JP,34.6851,135.8049,36.68,62,18,3.2,few clouds
304,Eureka,US,40.8021,-124.1637,56.01,82,65,1.61,broken clouds
305,Serebryansk,KZ,49.6925,83.2892,-15.25,79,1,4.21,clear sky
306,Urumqi,CN,43.801,87.6005,4.15,78,3,4.47,mist
307,Tongren,CN,27.7172,109.1853,34.27,99,100,4.0,snow
308,Muros,ES,42.7762,-9.0603,58.23,65,34,10.38,scattered clouds
309,Bijie,CN,27.3125,105.2942,30.83,98,100,2.53,light snow
310,Severo-Kurilsk,RU,50.6789,156.125,30.24,80,100,14.99,overcast clouds
311,Itoman,JP,26.1247,127.6694,59.02,62,100,9.22,overcast clouds
312,Tena,EC,-0.9833,-77.8167,74.16,89,99,3.24,light rain
313,Kampene,CD,-3.6,26.6667,72.07,88,100,1.01,light rain
314,Ilanskiy,RU,56.2358,96.065,3.6,95,100,3.58,overcast clouds
315,Maldonado,UY,-34.6667,-54.9167,69.19,51,31,20.45,scattered clouds
316,Batie,BF,9.8833,-2.9167,89.19,12,10,3.58,clear sky
317,Armacao De Pera,PT,37.1026,-8.357,60.71,74,5,1.19,clear sky
318,Port Hedland,AU,-20.3167,118.5667,84.25,89,4,9.22,clear sky
319,California City,US,35.1258,-117.9859,68.43,22,0,1.01,clear sky
320,Tual,ID,-5.6667,132.75,82.44,78,100,7.56,overcast clouds
321,Aktash,RU,50.3,87.7333,-14.01,65,0,5.77,clear sky
322,Tahe,CN,52.3333,124.7333,-10.23,98,60,3.47,broken clouds
323,Mitsamiouli,KM,-11.3847,43.2844,80.89,89,20,3.44,few clouds
324,Shingu,JP,33.7333,135.9833,38.91,73,9,6.53,clear sky
325,Yeppoon,AU,-23.1333,150.7333,67.78,76,13,14.14,few clouds
326,San Cristobal,VE,7.7669,-72.225,69.98,48,75,5.26,broken clouds
327,Meulaboh,ID,4.1363,96.1285,77.0,89,90,8.86,overcast clouds
328,Ostrovnoy,RU,68.0531,39.5131,14.14,86,96,22.17,overcast clouds
329,Gamboula,CF,4.1178,15.1393,78.62,22,73,1.7,broken clouds
330,Bacolod,PH,10.6667,122.95,75.38,83,62,10.02,broken clouds
331,Mikhaylov,RU,54.2292,39.0186,25.93,94,94,8.7,snow
332,Nome,US,64.5011,-165.4064,-0.33,50,0,8.05,clear sky
333,Yangjiang,CN,21.85,111.9667,59.95,83,97,6.82,overcast clouds
334,Labuhan,ID,-6.8844,112.2051,77.94,90,100,7.16,overcast clouds
335,Dan Khun Thot,TH,15.2085,101.7714,80.08,58,26,2.51,scattered clouds
336,Shenkursk,RU,62.1091,42.896,7.75,98,89,5.01,overcast clouds
337,Nanortalik,GL,60.1432,-45.2371,14.92,68,100,20.51,overcast clouds
338,La Rioja,ES,42.25,-2.5,41.31,72,96,4.81,overcast clouds
339,Winslow,US,35.0242,-110.6974,42.3,25,0,1.99,clear sky
340,Moroni,KM,-11.7022,43.2551,80.08,78,85,9.08,overcast clouds
341,Vao,NC,-22.6667,167.4833,79.93,85,93,1.77,overcast clouds
342,Skjervoy,NO,70.0311,20.9714,28.4,66,50,18.68,scattered clouds
343,Pochutla,MX,15.7432,-96.4661,88.83,35,5,7.38,clear sky
344,Chifeng,CN,42.2683,118.9636,9.57,80,2,5.44,clear sky
345,Port Elizabeth,ZA,-33.918,25.5701,78.1,94,40,16.11,thunderstorm with light rain
346,Denpasar,ID,-8.65,115.2167,78.46,94,40,2.3,scattered clouds
